hotel,meal,total_night_booked,market_segment,revenue
City Hotel,HB,4,Offline TA/TO,18722
City Hotel,HB,2,Offline TA/TO,18649
Resort Hotel,HB,8,Offline TA/TO,18583
Resort Hotel,HB,2,Groups,18489
Resort Hotel,HB,1,Online TA,18412
Resort Hotel,HB,3,Direct,18184
City Hotel,BB,9,Direct,18177
City Hotel,HB,3,Groups,17988
City Hotel,BB,13,Direct,17908
City Hotel,BB,11,Online TA,17672
City Hotel,HB,8,Online TA,17420
City Hotel,BB,8,Direct,17350
Resort Hotel,HB,4,Offline TA/TO,17297
City Hotel,HB,2,Online TA,17283
Resort Hotel,BB,13,Online TA,17176
Resort Hotel,HB,25,Groups,16863
City Hotel,BB,6,Groups,16480
Resort Hotel,Undefined,14,Offline TA/TO,16389
Resort Hotel,HB,11,Online TA,16375
Resort Hotel,Undefined,7,Groups,16286
City Hotel,HB,6,Offline TA/TO,16169
Resort Hotel,BB,7,Corporate,16103
City Hotel,BB,5,Direct,16041
City Hotel,BB,8,Offline TA/TO,15996
Resort Hotel,HB,4,Groups,15902
Resort Hotel,HB,4,Offline TA/TO,15846
City Hotel,BB,21,Online TA,15804
City Hotel,HB,5,Direct,15709
Resort Hotel,BB,12,Direct,15476
City Hotel,HB,1,Online TA,15430
City Hotel,BB,9,Online TA,15424
City Hotel,BB,2,Offline TA/TO,15414
Resort Hotel,BB,21,Offline TA/TO,15412
Resort Hotel,HB,11,Online TA,15120
Resort Hotel,BB,11,Direct,15078
Resort Hotel,HB,3,Direct,14778
City Hotel,HB,2,Groups,14620
City Hotel,SC,14,Online TA,14565
Resort Hotel,HB,2,Direct,14341
City Hotel,BB,1,Offline TA/TO,14202
Resort Hotel,BB,18,Online TA,14117
Resort Hotel,BB,5,Groups,14086
City Hotel,HB,5,Offline TA/TO,13972
City Hotel,HB,5,Online TA,13948
City Hotel,SC,1,Direct,13828
City Hotel,BB,15,Aviation,13725
Resort Hotel,HB,11,Direct,13721
Resort Hotel,Undefined,6,Direct,13712
Resort Hotel,BB,3,Corporate,13683
City Hotel,BB,11,Direct,13562
Resort Hotel,BB,11,Direct,13465
City Hotel,BB,3,Corporate,13414
Resort Hotel,BB,4,Corporate,13284
Resort Hotel,BB,13,Direct,13238
Resort Hotel,BB,2,Direct,13216
Resort Hotel,HB,12,Online TA,13147
Resort Hotel,BB,12,Online TA,13098
City Hotel,BB,9,Direct,12796
City Hotel,BB,12,Online TA,12715
City Hotel,BB,13,Online TA,12708
City Hotel,HB,2,Groups,12629
Resort Hotel,HB,14,Groups,12556
Resort Hotel,BB,9,Offline TA/TO,12425
City Hotel,HB,9,Online TA,12340
Resort Hotel,BB,8,Offline TA/TO,12298
Resort Hotel,BB,16,Online TA,12240
Resort Hotel,BB,21,Online TA,12217
City Hotel,HB,1,Offline TA/TO,12189
Resort Hotel,HB,3,Offline TA/TO,12152
City Hotel,HB,4,Offline TA/TO,12083
Resort Hotel,Undefined,3,Groups,11956
City Hotel,HB,3,Direct,11929
Resort Hotel,BB,15,Online TA,11913
City Hotel,BB,10,Direct,11825
Resort Hotel,HB,8,Direct,11699
Resort Hotel,BB,13,Direct,11682
Resort Hotel,HB,11,Online TA,11680
Resort Hotel,BB,8,Groups,11656
Resort Hotel,HB,9,Direct,11638
Resort Hotel,BB,1,Corporate,11502
Resort Hotel,BB,15,Direct,11500
Resort Hotel,BB,5,Offline TA/TO,11395
City Hotel,BB,17,Online TA,11384
Resort Hotel,HB,13,Online TA,11316
Resort Hotel,HB,9,Direct,11316
Resort Hotel,HB,10,Groups,11306
Resort Hotel,HB,2,Online TA,11296
Resort Hotel,FB,10,Offline TA/TO,11294
Resort Hotel,HB,3,Offline TA/TO,11290
City Hotel,HB,3,Direct,10853
City Hotel,BB,13,Direct,10832
Resort Hotel,HB,9,Online TA,10768
Resort Hotel,BB,3,Offline TA/TO,10705
City Hotel,SC,8,Online TA,10662
Resort Hotel,HB,11,Offline TA/TO,10567
City Hotel,BB,28,Online TA,10563
Resort Hotel,BB,11,Offline TA/TO,10545
Resort Hotel,HB,12,Online TA,10504
City Hotel,SC,9,Online TA,10498
City Hotel,HB,4,Offline TA/TO,10463
Resort Hotel,HB,4,Offline TA/TO,10338
City Hotel,BB,2,Groups,10316
City Hotel,SC,10,Online TA,10212
City Hotel,BB,19,Online TA,9597
City Hotel,HB,4,Direct,9577
Resort Hotel,HB,5,Offline TA/TO,9564
City Hotel,HB,4,Direct,9560
City Hotel,BB,13,Online TA,9546
Resort Hotel,BB,6,Groups,9458
Resort Hotel,HB,3,Direct,9418
Resort Hotel,HB,28,Offline TA/TO,9291
City Hotel,HB,4,Groups,9147
City Hotel,HB,5,Direct,9099
Resort Hotel,BB,3,Corporate,9074
Resort Hotel,HB,4,Groups,9040
Resort Hotel,Undefined,3,Groups,9020
Resort Hotel,BB,1,Offline TA/TO,8903
Resort Hotel,BB,2,Offline TA/TO,8862
Resort Hotel,BB,2,Corporate,8791
City Hotel,BB,20,Online TA,8790
City Hotel,BB,7,Groups,8656
Resort Hotel,BB,13,Corporate,8536
Resort Hotel,BB,10,Groups,8478
Resort Hotel,HB,13,Direct,8404
Resort Hotel,HB,13,Offline TA/TO,8396
Resort Hotel,BB,11,Direct,8092
City Hotel,BB,1,Groups,7988
